"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Abundance Ratio 44 DMSO  40 DMSO"	"Abundance Ratio 44 sema  40 sema"	"Abundance Ratio 47 DMSO  40 DMSO"	"Abundance Ratio 47 sema  40 sema"	"Abundance Ratio 51 DMSO  40 DMSO"	"Abundance Ratio 51 sema  40 sema"	"Abundance Ratio 55 DMSO  40 DMSO"	"Abundance Ratio 55 sema  40 sema"	"Abundance Ratio 58 DMSO  40 DMSO"	"Abundance Ratio 58 sema  40 sema"	"Abundance Ratio 60 DMSO  40 DMSO"	"Abundance Ratio 60 sema  40 sema"	"Abundance Ratio 63 DMSO  40 DMSO"	"Abundance Ratio 63 sema  40 sema"	"Abundance Ratio 66 DMSO  40 DMSO"	"Abundance Ratio 66 sema  40 sema"	"Abundance Ratio 70 DMSO  40 DMSO"	"Abundance Ratio 70 sema  40 sema"	"Abundances Grouped 40 DMSO"	"Abundances Grouped 40 sema"	"Abundances Grouped 44 DMSO"	"Abundances Grouped 44 sema"	"Abundances Grouped 47 DMSO"	"Abundances Grouped 47 sema"	"Abundances Grouped 51 DMSO"	"Abundances Grouped 51 sema"	"Abundances Grouped 55 DMSO"	"Abundances Grouped 55 sema"	"Abundances Grouped 58 DMSO"	"Abundances Grouped 58 sema"	"Abundances Grouped 60 DMSO"	"Abundances Grouped 60 sema"	"Abundances Grouped 63 DMSO"	"Abundances Grouped 63 sema"	"Abundances Grouped 66 DMSO"	"Abundances Grouped 66 sema"	"Abundances Grouped 70 DMSO"	"Abundances Grouped 70 sema"	"Found in Sample in S1 F1 126 Sample 40 DMSO"	"Found in Sample in S2 F2 126 Sample 40 sema"	"Found in Sample in S4 F1 127C Sample 44 DMSO"	"Found in Sample in S13 F2 127C Sample 44 sema"	"Found in Sample in S6 F1 128C Sample 47 DMSO"	"Found in Sample in S15 F2 128C Sample 47 sema"	"Found in Sample in S8 F1 129C Sample 51 DMSO"	"Found in Sample in S17 F2 129C Sample 51 sema"	"Found in Sample in S10 F1 130C Sample 55 DMSO"	"Found in Sample in S19 F2 130C Sample 55 sema"	"Found in Sample in S3 F1 127N Sample 58 DMSO"	"Found in Sample in S12 F2 127N Sample 58 sema"	"Found in Sample in S5 F1 128N Sample 60 DMSO"	"Found in Sample in S14 F2 128N Sample 60 sema"	"Found in Sample in S7 F1 129N Sample 63 DMSO"	"Found in Sample in S16 F2 129N Sample 63 sema"	"Found in Sample in S9 F1 130N Sample 66 DMSO"	"Found in Sample in S18 F2 130N Sample 66 sema"	"Found in Sample in S11 F1 131 Sample 70 DMSO"	"Found in Sample in S20 F2 131 Sample 70 sema"	"Number of Protein Groups"	"Modifications"
"5921625546066163853"	"False"	"High"	"IsMasterProtein"	"P09373"	"Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"399.506"	"69"	"43"	"245"	"38"	"760"	"85.3"	"6.01"	"646.44"	"43"	"1.006"	"0.981"	"0.791"	"0.793"	"0.507"	"0.510"	"0.320"	"0.325"	"0.088"	"0.106"	"0.047"	"0.058"	"0.036"	"0.050"	"0.018"	"0.034"	"0.025"	"0.048"	"11880.8"	"16250.0"	"11954.3"	"15940.0"	"9397.9"	"12884.5"	"6029.0"	"8293.3"	"3799.7"	"5283.8"	"1042.5"	"1730.3"	"557.3"	"936.4"	"423.9"	"815.7"	"210.8"	"552.4"	"297.8"	"781.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C525]"
"-6470576087907012396"	"False"	"High"	"IsMasterProtein"	"P0CE48"	"Elongation factor Tu 2 OS=Escherichia coli (strain K12) OX=83333 GN=tufB PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"393.192"	"82"	"25"	"1029"	"7"	"394"	"43.3"	"5.45"	"2342.43"	"25"	"0.936"	"0.938"	"0.814"	"0.834"	"0.518"	"0.521"	"0.338"	"0.354"	"0.154"	"0.166"	"0.086"	"0.096"	"0.070"	"0.084"	"0.032"	"0.039"	"0.051"	"0.054"	"15659.0"	"17418.1"	"14661.3"	"16346.3"	"12747.7"	"14527.0"	"8111.1"	"9072.4"	"5294.5"	"6163.4"	"2415.2"	"2890.7"	"1345.2"	"1680.3"	"1097.4"	"1470.6"	"501.9"	"676.2"	"795.6"	"939.9"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [T9; T17; T26; T27; T29; S159; S220; S222; S307]; Methylthio [C82; C138; C256]"
"-7155797360553136116"	"False"	"High"	"IsMasterProtein"	"P00350"	"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) OX=83333 GN=gnd PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"357.271"	"84"	"36"	"194"	"33"	"468"	"51.4"	"5.15"	"496.24"	"36"	"0.900"	"1.034"	"0.886"	"0.916"	"0.824"	"0.811"	"0.936"	"0.937"	"0.815"	"0.738"	"0.516"	"0.459"	"0.346"	"0.329"	"0.031"	"0.037"	"0.036"	"0.063"	"13366.8"	"7061.3"	"12028.7"	"7304.1"	"11836.4"	"6470.4"	"11017.7"	"5723.5"	"12515.8"	"6619.4"	"10896.8"	"5214.1"	"6895.9"	"3240.3"	"4622.9"	"2326.6"	"420.2"	"261.5"	"482.6"	"445.1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Phospho [S128]"
"3532612895313072039"	"False"	"High"	"IsMasterProtein"	"P33195"	"Glycine dehydrogenase (decarboxylating) OS=Escherichia coli (strain K12) OX=83333 GN=gcvP PE=1 SV=3 UPId=UP000000625 PPId=UP000000625"	"0.000"	"351.326"	"64"	"41"	"160"	"41"	"957"	"104.3"	"6.00"	"422.01"	"41"	"0.881"	"0.962"	"0.854"	"0.907"	"0.752"	"0.784"	"0.848"	"0.875"	"0.797"	"0.762"	"0.602"	"0.560"	"0.554"	"0.547"	"0.368"	"0.361"	"0.125"	"0.109"	"5696.1"	"4680.0"	"5015.5"	"4504.1"	"4863.5"	"4244.2"	"4284.3"	"3670.7"	"4832.0"	"4096.3"	"4539.0"	"3567.6"	"3431.0"	"2622.4"	"3154.0"	"2561.7"	"2097.5"	"1688.7"	"710.3"	"508.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C392; C512; C566; C598; C624; C648; C711; C815; C948; C950]"
"5716554387038917657"	"False"	"High"	"IsMasterProtein"	"P0A6P9"	"Enolase OS=Escherichia coli (strain K12) OX=83333 GN=eno PE=1 SV=2 UPId=UP000000625 PPId=UP000000625"	"0.000"	"351.164"	"92"	"36"	"399"	"29"	"432"	"45.6"	"5.48"	"1024.24"	"36"	"1.042"	"1.057"	"0.947"	"0.945"	"0.934"	"0.936"	"1.002"	"0.975"	"0.851"	"0.812"	"0.619"	"0.592"	"0.537"	"0.513"	"0.378"	"0.374"	"0.314"	"0.302"	"12648.7"	"14545.2"	"13183.9"	"15376.2"	"11982.5"	"13745.1"	"11808.5"	"13615.8"	"12675.1"	"14176.7"	"10760.5"	"11815.2"	"7824.8"	"8616.1"	"6789.1"	"7463.0"	"4782.7"	"5438.8"	"3970.5"	"4385.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C247]"
"4871850369393129080"	"False"	"High"	"IsMasterProtein"	"P32176"	"Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) OX=83333 GN=fdoG PE=1 SV=5 UPId=UP000000625 PPId=UP000000625"	"0.000"	"347.448"	"64"	"46"	"149"	"42"	"1016"	"112.5"	"7.28"	"440.56"	"46"	"1.038"	"1.007"	"0.889"	"0.874"	"0.814"	"0.824"	"0.908"	"0.877"	"0.779"	"0.756"	"0.623"	"0.610"	"0.625"	"0.603"	"0.504"	"0.490"	"0.526"	"0.509"	"2916.1"	"4826.4"	"3028.0"	"4860.0"	"2593.5"	"4219.0"	"2374.4"	"3977.2"	"2648.9"	"4233.9"	"2272.9"	"3649.9"	"1817.2"	"2945.6"	"1823.3"	"2909.5"	"1469.2"	"2365.4"	"1534.6"	"2455.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C165; C359; C380; C391; C554; C572; C618]"
"-2389822068237097065"	"False"	"High"	"IsMasterProtein"	"P0ABB0"	"ATP synthase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=atpA PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"337.176"	"72"	"31"	"250"	"30"	"513"	"55.2"	"6.13"	"754.82"	"31"	"0.982"	"0.978"	"0.835"	"0.864"	"0.745"	"0.781"	"0.707"	"0.733"	"0.434"	"0.471"	"0.228"	"0.261"	"0.110"	"0.142"	"0.050"	"0.066"	"0.070"	"0.080"	"12914.8"	"11203.6"	"12677.0"	"10959.1"	"10783.7"	"9680.2"	"9619.0"	"8752.2"	"9128.7"	"8210.2"	"5611.1"	"5275.7"	"2948.6"	"2924.7"	"1414.4"	"1588.9"	"640.1"	"742.7"	"910.4"	"898.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C47; C193; C243]; Phospho [S5; S127]"
"-5939617293755410498"	"False"	"High"	"IsMasterProtein"	"P0A853"	"Tryptophanase OS=Escherichia coli (strain K12) OX=83333 GN=tnaA PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"335.136"	"75"	"28"	"517"	"28"	"471"	"52.7"	"6.23"	"1111.08"	"28"	"0.979"	"0.984"	"0.866"	"0.855"	"0.685"	"0.687"	"0.508"	"0.515"	"0.201"	"0.194"	"0.076"	"0.071"	"0.038"	"0.032"	"0.014"	"0.013"	"0.031"	"0.032"	"24855.2"	"47930.6"	"24321.8"	"47145.3"	"21515.8"	"40976.5"	"17024.9"	"32937.5"	"12635.4"	"24664.2"	"4987.3"	"9317.8"	"1897.8"	"3423.1"	"944.0"	"1515.6"	"353.4"	"610.5"	"768.5"	"1511.0"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C148; C281; C294; C298; C352; C383; C413]"
"8450639040001112765"	"False"	"High"	"IsMasterProtein"	"P08839"	"Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ptsI PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"321.782"	"77"	"34"	"172"	"34"	"575"	"63.5"	"4.87"	"471.61"	"34"	"0.946"	"0.968"	"0.818"	"0.828"	"0.569"	"0.579"	"0.389"	"0.415"	"0.121"	"0.128"	"0.059"	"0.049"	"0.046"	"0.040"	"0.015"	"0.019"	"0.044"	"0.041"	"11633.5"	"15980.3"	"11009.8"	"15465.5"	"9516.8"	"13232.7"	"6623.3"	"9248.4"	"4522.3"	"6632.9"	"1406.5"	"2045.9"	"680.8"	"782.1"	"540.9"	"631.3"	"173.4"	"301.6"	"517.5"	"650.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C272; C324; C502]"
"4023937159679674116"	"False"	"High"	"IsMasterProtein"	"P76558"	"NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1 UPId=UP000000625 PPId=UP000000625"	"0.000"	"320.590"	"60"	"36"	"205"	"32"	"759"	"82.4"	"5.50"	"540.66"	"36"	"0.983"	"1.032"	"0.894"	"0.878"	"0.830"	"0.826"	"0.949"	"0.928"	"0.902"	"0.857"	"0.797"	"0.748"	"0.869"	"0.835"	"0.752"	"0.721"	"0.767"	"0.726"	"4262.3"	"5076.3"	"4190.8"	"5240.5"	"3809.7"	"4457.9"	"3535.7"	"4195.5"	"4046.1"	"4709.3"	"3845.1"	"4348.1"	"3396.6"	"3799.1"	"3702.8"	"4240.1"	"3203.2"	"3661.4"	"3269.8"	"3684.2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C47; C143; C219; C263; C323; C554; C642]"
"-2381109378595753221"	"False"	"High"	"IsMasterProtein"	"P00956"	"Isoleucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=ileS PE=1 SV=5 UPId=UP000000625 PPId=UP000000625"	"0.000"	"314.645"	"55"	"39"	"204"	"39"	"938"	"104.2"	"6.01"	"419.18"	"39"	"1.001"	"0.963"	"0.918"	"0.922"	"0.786"	"0.780"	"0.732"	"0.706"	"0.389"	"0.372"	"0.158"	"0.154"	"0.069"	"0.060"	"0.029"	"0.032"	"0.043"	"0.047"	"11273.1"	"8353.3"	"11286.7"	"8042.2"	"10350.6"	"7699.0"	"8865.1"	"6516.1"	"8257.3"	"5901.1"	"4381.6"	"3109.7"	"1781.9"	"1283.4"	"772.5"	"503.1"	"327.4"	"264.0"	"483.7"	"393.1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Methylthio [C97; C405; C406; C463; C748; C904]"
